,SNaPs1,SNaPs2,SNaPs3,SNaPs4,ESCs1,ESCs2,ESCs3,ESCs4
ENSG00000000003,2145,2761,3373,3178,1515,1636,1475,1564
ENSG00000000005,0,5,4,4,39,21,64,48
ENSG00000000419,346,411,478,459,638,697,502,614
ENSG00000000457,84,141,73,141,41,87,55,41
ENSG00000000460,257,327,335,370,467,497,400,420
ENSG00000000938,1,0,3,0,2,1,0,3
ENSG00000000971,0,2,0,2,0,0,0,0
ENSG00000001036,683,940,1201,1097,1079,1077,757,880
ENSG00000001084,42,58,82,60,191,239,196,221
ENSG00000001167,250,544,587,619,601,571,358,536
ENSG00000001460,83,76,122,126,134,97,104,74
ENSG00000001461,119,205,239,278,177,185,199,142
ENSG00000001497,682,829,978,1039,1572,1855,1205,1340
ENSG00000001561,44,81,66,89,63,75,50,52
ENSG00000001617,50,46,55,46,69,74,60,50
ENSG00000001626,0,0,5,6,0,0,0,4
ENSG00000001629,110,153,193,148,191,171,186,225
ENSG00000001630,1122,2005,2221,2122,2092,2394,1806,2091
ENSG00000001631,147,226,314,346,152,210,168,192
ENSG00000002016,26,66,64,71,79,54,38,57
ENSG00000002079,0,0,0,0,0,0,0,0
ENSG00000002330,76,218,417,416,215,252,157,62
ENSG00000002549,330,408,585,504,733,849,655,719
ENSG00000002586,921,1221,1362,1433,541,636,397,340
ENSG00000002587,33,21,41,42,19,12,7,18
ENSG00000002726,0,0,0,0,0,0,0,3
ENSG00000002745,0,1,0,3,2,1,4,2
ENSG00000002746,3,7,10,21,27,41,30,20
ENSG00000002822,326,418,513,519,368,470,357,250
ENSG00000002834,600,1246,1514,1368,1462,1608,1288,1024
ENSG00000002919,209,303,386,318,390,434,384,359
ENSG00000002933,11,7,29,27,6,3,6,0
ENSG00000003056,1014,1216,1479,1484,1603,1868,1444,1462
ENSG00000003096,251,600,644,604,641,660,459,516
ENSG00000003137,3,2,3,0,0,1,0,2
ENSG00000003147,19,21,23,49,264,270,176,201
ENSG00000003249,29,29,34,17,124,155,124,84
ENSG00000003393,139,271,262,244,313,273,262,235
ENSG00000003400,0,2,0,0,8,2,8,24
ENSG00000003402,9,25,31,41,29,23,15,29
ENSG00000003436,183,393,417,417,25,22,27,37
ENSG00000003509,156,147,203,209,722,824,574,600
ENSG00000003756,508,792,933,939,658,670,513,483
ENSG00000003987,36,43,54,51,51,46,30,59
ENSG00000003989,1,8,17,17,182,130,112,99
ENSG00000004059,1108,1559,1879,2006,1521,1645,1156,923
ENSG00000004139,75,134,138,90,40,32,47,37
ENSG00000004142,164,248,375,383,320,437,313,220
ENSG00000004399,42,91,108,95,130,166,83,71
ENSG00000004455,905,1177,1471,1437,1252,1414,951,1108
ENSG00000004468,0,0,0,0,0,1,0,1
ENSG00000004478,263,1072,1501,1442,4982,5843,3947,2502
ENSG00000004487,428,533,654,653,583,691,630,555
ENSG00000004534,253,424,505,568,662,700,398,361
ENSG00000004660,11,20,36,25,23,21,28,18
ENSG00000004700,173,456,495,486,694,730,556,525
ENSG00000004766,82,195,220,135,123,148,114,121
ENSG00000004776,1,0,0,0,0,0,0,0
ENSG00000004777,136,295,291,290,97,136,89,66
ENSG00000004779,808,898,1157,1179,1669,1889,1125,1167
ENSG00000004799,0,4,3,17,1,5,1,1
ENSG00000004809,0,0,0,0,1,0,0,0
ENSG00000004838,67,103,116,85,6,2,5,3
ENSG00000004846,0,0,0,0,0,0,1,2
ENSG00000004848,0,4,11,4,0,0,0,0
ENSG00000004864,558,857,1110,880,1272,1419,1120,1118
ENSG00000004866,174,190,245,178,103,96,84,82
ENSG00000004897,566,540,719,724,577,611,516,539
ENSG00000004939,0,0,0,0,0,3,3,0
ENSG00000004948,0,1,0,0,3,9,7,5
ENSG00000004961,206,225,234,237,394,415,302,300
ENSG00000004975,32,45,159,157,108,153,60,58
ENSG00000005001,0,0,0,0,0,0,0,0
ENSG00000005007,132,138,137,119,158,185,129,123
ENSG00000005020,28,33,41,50,66,60,75,75
ENSG00000005022,3458,3941,4652,5008,8221,9582,7137,7252
ENSG00000005059,26,54,103,94,62,43,46,29
ENSG00000005073,0,0,0,0,0,0,0,0
ENSG00000005075,802,907,1063,1045,917,1002,657,738
ENSG00000005100,80,88,123,109,444,411,322,344
ENSG00000005102,19,32,40,49,2,0,0,0
ENSG00000005108,53,95,127,109,9,6,10,11
ENSG00000005156,574,1012,1056,1163,1166,1364,1104,1052
ENSG00000005175,360,475,572,522,613,657,469,514
ENSG00000005187,6,12,4,12,28,27,15,14
ENSG00000005189,101,125,209,205,102,106,87,102
ENSG00000005194,1084,1326,1652,1651,1503,1975,1343,1383
ENSG00000005206,145,353,464,496,343,444,240,182
ENSG00000005238,89,185,167,190,50,48,20,25
ENSG00000005243,0,1,3,6,0,1,1,0
ENSG00000005249,77,116,134,94,76,62,77,159
ENSG00000005302,233,260,295,338,126,167,133,148
ENSG00000005339,278,449,458,482,263,284,239,223
ENSG00000005379,8,23,23,57,31,20,16,17
ENSG00000005381,0,0,0,0,0,0,1,0
ENSG00000005421,0,0,1,1,6,10,7,4
ENSG00000005436,44,63,79,83,48,56,36,51
ENSG00000005448,2390,2870,3231,3273,997,1156,853,803
ENSG00000005469,41,70,98,72,39,41,19,33
ENSG00000005471,12,28,28,39,11,3,7,15
ENSG00000005483,1717,2175,2405,2536,511,578,477,501
ENSG00000005486,736,1216,1558,1545,402,373,315,226
ENSG00000005513,4,3,21,6,14,17,8,4
ENSG00000005700,411,560,632,591,321,320,296,392
ENSG00000005801,432,607,707,657,1076,1118,921,1023
ENSG00000005810,123,286,338,319,259,178,220,195
ENSG00000005812,21,48,22,53,16,25,17,12
ENSG00000005844,0,0,0,4,0,4,5,6
ENSG00000005882,427,535,678,626,331,340,220,223
ENSG00000005884,12,17,24,17,50,37,27,25
ENSG00000005889,194,375,439,377,238,289,199,250
ENSG00000005893,476,1077,1461,1335,711,706,561,537
ENSG00000005961,29,25,39,38,94,77,58,46
