"","Day","Condition","OrgID","Size"
"1",3,"CONTROL","1",0.2122822
"2",3,"CONTROL","2",0.22493936
"3",3,"CONTROL","3",0.22370411
"4",3,"CONTROL","4",0.27815819
"5",3,"CONTROL","5",0.31206479
"6",3,"CONTROL","6",0.29458093
"7",3,"CONTROL","7",0.32153861
"8",3,"CONTROL","8",0.26938905
"9",3,"CONTROL","9",0.21948415
"10",3,"CONTROL","10",0.22855802
"11",3,"CONTROL","11",0.23389623
"12",3,"CONTROL","12",0.27606862
"13",3,"CONTROL","13",0.2815864
"14",3,"CONTROL","14",0.29146834
"15",3,"CONTROL","15",0.2943932
"16",3,"CACHD1_MUTANT1","1",0.2227736
"17",3,"CACHD1_MUTANT1","2",0.2133814
"18",3,"CACHD1_MUTANT1","3",0.24428968
"19",3,"CACHD1_MUTANT1","4",0.36725892
"20",3,"CACHD1_MUTANT1","5",0.27794053
"21",3,"CACHD1_MUTANT1","6",0.24168315
"22",3,"CACHD1_MUTANT1","7",0.22467816
"23",3,"CACHD1_MUTANT1","8",0.20604885
"24",3,"CACHD1_MUTANT1","9",0.1480795
"25",3,"CACHD1_MUTANT1","10",0.24894225
"26",3,"CACHD1_MUTANT1","11",0.25596735
"27",3,"CACHD1_MUTANT1","12",0.32711353
"28",3,"CACHD1_MUTANT1","13",0.32322279
"29",3,"CACHD1_MUTANT1","14",0.28289238
"30",3,"CACHD1_MUTANT1","15",0.28332227
"31",3,"CACHD1_MUTANT1","16",0.20318657
"32",3,"CACHD1_MUTANT2","1",0.21282636
"33",3,"CACHD1_MUTANT2","2",0.21779726
"34",3,"CACHD1_MUTANT2","3",0.28883461
"35",3,"CACHD1_MUTANT2","4",0.40206339
"36",3,"CACHD1_MUTANT2","5",0.36442657
"37",3,"CACHD1_MUTANT2","6",0.31792539
"38",3,"CACHD1_MUTANT2","7",0.26359647
"39",3,"CACHD1_MUTANT2","8",0.25115426
"40",3,"CACHD1_MUTANT2","9",0.13551213
"41",3,"CACHD1_MUTANT2","10",0.17660164
"42",3,"CACHD1_MUTANT2","11",0.25052847
"43",3,"CACHD1_MUTANT2","12",0.39885556
"44",3,"CACHD1_MUTANT2","13",0.42923873
"45",3,"CACHD1_MUTANT2","14",0.35362228
"46",3,"CACHD1_MUTANT2","15",0.24491274
"47",3,"CACHD1_MUTANT2","16",0.19907544
"48",6,"CONTROL","1",0.57330233
"49",6,"CONTROL","2",0.57315268
"50",6,"CONTROL","3",0.5770924
"51",6,"CONTROL","4",0.582534
"52",6,"CONTROL","5",0.61110511
"53",6,"CONTROL","6",0.60983178
"54",6,"CONTROL","7",0.64733527
"55",6,"CONTROL","8",0.64288133
"56",6,"CONTROL","9",0.59490819
"57",6,"CONTROL","10",0.57249697
"58",6,"CONTROL","11",0.56807023
"59",6,"CONTROL","12",0.593156
"60",6,"CONTROL","13",0.59695696
"61",6,"CONTROL","14",0.6080034
"62",6,"CONTROL","15",0.65759541
"63",6,"CACHD1_MUTANT1","1",0.50006657
"64",6,"CACHD1_MUTANT1","2",0.5764911
"65",6,"CACHD1_MUTANT1","3",0.66645705
"66",6,"CACHD1_MUTANT1","4",0.70954635
"67",6,"CACHD1_MUTANT1","5",0.6707668
"68",6,"CACHD1_MUTANT1","6",0.62086734
"69",6,"CACHD1_MUTANT1","7",0.62266035
"70",6,"CACHD1_MUTANT1","8",0.55290177
"71",6,"CACHD1_MUTANT1","9",0.46539271
"72",6,"CACHD1_MUTANT1","10",0.62283992
"73",6,"CACHD1_MUTANT1","11",0.6660054
"74",6,"CACHD1_MUTANT1","12",0.75429261
"75",6,"CACHD1_MUTANT1","13",0.75816431
"76",6,"CACHD1_MUTANT1","14",0.71086866
"77",6,"CACHD1_MUTANT1","15",0.68769561
"78",6,"CACHD1_MUTANT1","16",0.572867
"79",6,"CACHD1_MUTANT2","1",0.5564633
"80",6,"CACHD1_MUTANT2","2",0.5761238
"81",6,"CACHD1_MUTANT2","3",0.62424113
"82",6,"CACHD1_MUTANT2","4",0.70163154
"83",6,"CACHD1_MUTANT2","5",0.68993483
"84",6,"CACHD1_MUTANT2","6",0.64598576
"85",6,"CACHD1_MUTANT2","7",0.65426243
"86",6,"CACHD1_MUTANT2","8",0.65022476
"87",6,"CACHD1_MUTANT2","9",0.46242976
"88",6,"CACHD1_MUTANT2","10",0.58153275
"89",6,"CACHD1_MUTANT2","11",0.66896563
"90",6,"CACHD1_MUTANT2","12",0.79847839
"91",6,"CACHD1_MUTANT2","13",0.80231744
"92",6,"CACHD1_MUTANT2","14",0.77003244
"93",6,"CACHD1_MUTANT2","15",0.76985014
"94",6,"CACHD1_MUTANT2","16",0.6000505
"95",9,"CONTROL","1",0.77117789
"96",9,"CONTROL","2",0.67809391
"97",9,"CONTROL","3",0.63545627
"98",9,"CONTROL","4",0.62113398
"99",9,"CONTROL","5",0.6915401
"100",9,"CONTROL","6",0.65698051
"101",9,"CONTROL","7",0.69789861
"102",9,"CONTROL","8",0.72184708
"103",9,"CONTROL","9",0.77417349
"104",9,"CONTROL","10",0.62597428
"105",9,"CONTROL","11",0.65560106
"106",9,"CONTROL","12",0.62345482
"107",9,"CONTROL","13",0.62892635
"108",9,"CONTROL","14",0.70381635
"109",9,"CONTROL","15",0.7866402
"110",9,"CACHD1_MUTANT1","1",0.88710027
"111",9,"CACHD1_MUTANT1","2",0.874337
"112",9,"CACHD1_MUTANT1","3",0.78091291
"113",9,"CACHD1_MUTANT1","4",0.8299526
"114",9,"CACHD1_MUTANT1","5",0.80868955
"115",9,"CACHD1_MUTANT1","6",0.82246224
"116",9,"CACHD1_MUTANT1","7",0.8144903
"117",9,"CACHD1_MUTANT1","8",0.87141486
"118",9,"CACHD1_MUTANT1","9",0.87081356
"119",9,"CACHD1_MUTANT1","10",0.83460789
"120",9,"CACHD1_MUTANT1","11",0.8173553
"121",9,"CACHD1_MUTANT1","12",0.8075441
"122",9,"CACHD1_MUTANT1","13",0.82025295
"123",9,"CACHD1_MUTANT1","14",0.82806708
"124",9,"CACHD1_MUTANT1","15",0.84399736
"125",9,"CACHD1_MUTANT1","16",0.84016648
